movieId,title,genres,directedBy,starring
23,Assassins (1995),Action|Crime|Thriller,Richard Donner,Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov
24,Powder (1995),Drama|Sci-Fi,Victor Salva,Sean Patrick Flanery|Jeff Goldblum|Lance Henriksen|Mary Steenburgen
25,Leaving Las Vegas (1995),Drama|Romance,Mike Figgis,Nicolas Cage|Elisabeth Shue|Richard Lewis|Julian Sands
26,Othello (1995),Drama,Oliver Parker,Kenneth Branagh|Laurence Fishburne|Nathaniel Parker|Ir\u00e8ne Jacob
27,Now and Then (1995),Children|Drama,Lesli Linka Glatter,Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith|Gaby Hoffmann|Demi Moore|Rita Wilson|Devon Sawa|Cloris Leachman|Lolita Davidovich|Janeane Garofalo|Hank Azaria|Bonnie Hunt|Rumer Willis|Brendan Fraser
28,Persuasion (1995),Drama|Romance,Roger Michell,Amanda Root|Ciar\u00e1n Hinds|Susan Fleetwood|Corin Redgrave|Fiona Shaw
29,City of Lost Children The (Cit?? des enfants perdus La) (1995),Adventure|Drama|Fantasy|Mystery|Sci-Fi,Marc Caro|Jean-Pierre Jeunet,Ron Perlman|Daniel Emilfork|Judith Vittet|Dominique Pinon|Jean-Claude Dreyfus
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Yimou Zhang,Li Gong|Baotian Li|Wang Xiaoxiao|Xuejian Li
31,Dangerous Minds (1995),Drama,John N. Smith,Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|Beatrice Winde|John Neville|Lorraine Toussaint|Renoly Santiago|Wade Dominguez|Bruklin Harris|Marcello Thedford|Paula Garc\u00e9s|Ivan Sergei|Camille Winbush|
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Terry Gilliam,Bruce Willis|Jon Seda|Simon Jones|Madeleine Stowe|Brad Pitt|Frederick Strother|Frank Gorshin|Aaron Michael Lacey|David Morse|Lisa Gay Hamilton|Matt Ross|Christopher Plummer|Christopher Meloni
34,Babe (1995),Children|Drama,Jean-Jacques Annaud,Tom Hulce|Val Kilmer|Craig Sheffer|Elizabeth McGovern
36,Dead Man Walking (1995),Crime|Drama,Chris Noonan,Danny Mann|Hugo Weaving|Christine Cavanaugh|Miriam Margolyes|James Cromwell|Magda Szubanski
38,It Takes Two (1995),Children|Comedy,Christopher Hampton,Jonathan Pryce|Steven Waddington|Samuel West|Emma Thompson
39,Clueless (1995),Comedy|Romance,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey|Celia Weston|Peter Sarsgaard|Jack Black|Eva Amurri
40,Cry|the Beloved Country (1995),Drama,Stephen Low,Avi Hoffman|John McDonough|Peter Reznick|Victor Steinbach
41,Richard III (1995),Drama|War,Andy Tennant,Steve Guttenberg|Kirstie Alley|Ashley Olsen|Mary-Kate Olsen|Jane Sibbet
42,Dead Presidents (1995),Action|Crime|Drama,Amy Heckerling,Alicia Silverstone|Paul Rudd|Stacey Dash|Brittany Murphy|Donald Faison|Elisa Donovan|Breckin Meyer
43,Restoration (1995),Drama,Darrell Roodt,Richard Harris|James Earl Jones|Tsholofelo Wechoemang|Dolly Rathebe
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Richard Loncraine,Ian McKellen|Annette Bening|Jim Broadbent|Robert Downey Jr.|Nigel Hawthorne
45,To Die For (1995),Comedy|Drama|Thriller,Albert Hughes|Allen Hughes,Larenz Tate|Keith David|Chris Tucker|Freddy Rodr\u00edguez|Rose Jackson|N'Bushe Wright|Jenifer Lewis|Clifton Powell|Terrence Howard|Sticky Fingaz|Bokeem Woodbine|David Barry Gray|Michael Imperioli|Clifton Collins Jr.|Tony Sirico|Seymour Cassel|Martin Sheen|Isaiah Washington
46,How to Make an American Quilt (1995),Drama|Romance,Michael Hoffman,Robert Downey Jr.|Sam Neill|David Thewlis|Polly Walker|Meg Ryan|Ian McKellen|Hugh Grant|Ian McDiarmid|Roger Ashton-Griffiths
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Paul W.S. Anderson,Linden Ashby|Christopher Lambert|Robin Shou|Talisa Soto|Cary-Hiroyuki Tagawa|Bridgette Wilson|Trevor Goddard
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas|Wayne Knight|Kurtwood Smith
49,When Night Is Falling (1995),Drama|Romance,Jocelyn Moorhouse,Anne Bancroft|Ellen Burstyn|Kate Nelligan|Winona Ryder
50,Usual Suspects|The (1995),Crime|Mystery|Thriller,David Fincher,Brad Pitt|Morgan Freeman|Gwyneth Paltrow|John C. McGinley|Kevin Spacey
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Mike Gabriel|Eric Goldberg,Mel Gibson|Irene Bedard|Linda Hunt|Judy Kuhn|Christian Bale
53,Lamerica (1994),Adventure|Drama,Patricia Rozema,Henry Czerny|David Fox|Pascale Bussi\u00e8res|Rachael Crawford
54,Big Green|The (1995),Children|Comedy,Bryan Singer,Stephen Baldwin|Gabriel Byrne|Benicio Del Toro|Kevin Pollak|Kevin Spacey|Chazz Palminteri|Pete Postlethwaite|Giancarlo Esposito|Suzy Amis|Dan Hedaya|Paul Bartel|Clark Gregg|Louis Lombardi|Vito D'Ambrosio|Peter Greene
55,Georgia (1995),Drama,Richard W. Munchkin,Daniel McVicar|Marshall R. Teague|Lydie Denier|Cynthia Rothrock
57,Home for the Holidays (1995),Drama,Woody Allen,Woody Allen|Mira Sorvino|F. Murray Abraham|Helena Bonham Carter|Olympia Dukakis|Michael Rapaport|David Ogden Stiers|Peter Weller|Jack Warden
58,Postman|The (Postino|Il) (1994),Comedy|Drama|Romance,Gianni Amelio,Carmelo Di Mazzarelli|Enrico Lo Verso|Piro Milkani|Michele Placido
60,Indian in the Cupboard|The (1995),Adventure|Children|Fantasy,Holly Goldberg Sloan,Steve Guttenberg|Jay O. Sanders|John Terry|Olivia d'Abo
61,Eye for an Eye (1996),Drama|Thriller,Ulu Grosbard,Ted Levine|Max Perlich|Jennifer Jason Leigh|Mare Winningham
62,Mr. Holland's Opus (1995),Drama,Robert Tinnell,Justin Borntraeger|Michael Ironside|Malcolm McDowell|Roc LaFortune|Johnny Morina|Christopher Olscamp
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Jodie Foster,Robert Downey Jr.|Claire Danes|Charles Durning|Anne Bancroft|Holly Hunter
64,Two if by Sea (1996),Comedy|Romance,Michael Radford,Philippe Noiret|Massimo Troisi|Maria Grazia Cucinotta|Renato Scarpa|Linda Moretti
65,Bio-Dome (1996),Comedy,Robert Lepage,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette|Kristin Scott Thomas|Ron Burrage|Richard Fr\u00e9chette
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Frank Oz,Hal Scardino|Litefoot|Lindsay Crouse|Richard Jenkins|Steve Coogan|David Keith|Vincent Kartheiser|Nestor Serrano|Michael Papajohn
68,French Twist (Gazon maudit) (1995),Comedy|Romance,John Schlesinger,Ed Harris|Olivia Burnette|Sally Field|Alexandra Kyle
69,Friday (1995),Comedy,Stephen Herek,Richard Dreyfuss|Jay Thomas|Olympia Dukakis|Glenne Headly
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Paris Barclay,Marlon Wayans|Shawn Wayans|Tracey Cherelle Jones|Vivian Smallwood
71,Fair Game (1995),Action,Bill Bennett,Stephen Dillane|Yaphet Kotto|Denis Leary|Sandra Bullock
72,Kicking and Screaming (1995),Comedy|Drama,Jason Bloom,William Atherton|Denise Dowse|Dara Tomanovich|Kevin West|Kylie Minogue|Pauly Shore|Stephen Baldwin|Joey Lauren Adams|Rose McGowan|Jack Black|Kyle Gass|Phil LaMarr|
73,Mis??rables|Les (1995),Drama|War,Farhad Mann,Patrick Bergin|Matt Frewer|Austin O'Brien|Ely Pouget
74,Bed of Roses (1996),Drama|Romance,James Foley,Jerry Barone|Patrick Borriello|Al Pacino|Mary Elizabeth Mastrantonio
75,Big Bully (1996),Comedy|Drama,Josiane Balasko,Victoria Abril|Josiane Balasko|Alain Chabat|Ticky Holgado|Catherine Hiegel|Catherine Samie
76,Screamers (1995),Action|Sci-Fi|Thriller,F. Gary Gray,Ice Cube|Tom 'Tiny' Lister Jr.|Chris Tucker|Nia Long|Sandra Bernhard
77,Nico Icon (1995),Documentary,Robert Rodriguez,George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis|Ernest Liu|Salma Hayek|Cheech Marin|Danny Trejo|Tom Savini|Fred Williamson|John Saxon|Kelly Preston|John Hawkes|Mike Moroff|Tia Texada
78,Crossing Guard|The (1995),Action|Crime|Drama|Thriller,Andrew Sipes,William Baldwin|Steven Berkoff|Christopher McDonald|Cindy Crawford
79,Juror|The (1996),Drama|Thriller,Noah Baumbach,Jonathan Baumbach|Sam Gould|Josh Hamilton|Catherine Kellner
80,White Balloon|The (Badkonake sefid) (1995),Children|Drama,Claude Lelouch,Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines|Salom\u00e9 Lelouch
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Michael Goldenberg,Josh Brolin|Christian Slater|Mary Stuart Masterson|Pamela Segall
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Steve Miner,Tom Arnold|Rick Moranis|Carol Kane|Julianne Phillips
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Christian Duguay,Roy Dupuis|Andrew Lauer|Peter Weller|Jennifer Rubin
85,Angels and Insects (1995),Drama|Romance,Susanne Ofteringer,Nico|Christian Aaron Boulogne|Tina Aumont|Edith Boulogne
86,White Squall (1996),Action|Adventure|Drama,Sean Penn,David Morse|Jack Nicholson|Anjelica Huston|Robin Wright Penn
87,Dunston Checks In (1996),Children|Comedy,Brian Gibson,Alec Baldwin|Joseph Gordon-Levitt|Anne Heche|Demi Moore
88,Black Sheep (1996),Comedy,Jafar Panahi,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadr Orfani|Anna Borkowska|Mohammad Shahani
89,Nick of Time (1995),Action|Thriller,Gary Fleder,Andy Garcia|Christopher Lloyd|William Forsythe|Steve Buscemi|Christopher Walken
92,Mary Reilly (1996),Drama|Horror|Thriller,Marleen Gorris,Willeke van Ammelrooy|Els Dottermans|Dora van der Groen|Veerle van Overloop|Jan Decleir|Victor L\u00f6w
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Tim Reid,Al Freeman Jr.|Phylicia Rashad|Paula Kelly|Leon|Salli Richardson-Whitfield|Anna Maria Horsford|Isaac Hayes
94,Beautiful Girls (1996),Comedy|Drama|Romance,Henry Jaglom,Jon Robin Baitz|Victoria Foyt|Melissa Leo|Viveca Lindfors
95,Broken Arrow (1996),Action|Adventure|Thriller,Philip Haas,Mark Rylance|Kristin Scott Thomas|Patsy Kensit|Jeremy Kemp|Douglas Henshall
96,In the Bleak Midwinter (1995),Comedy|Drama,Ridley Scott,Jeff Bridges|Caroline Goodall|John Savage|Scott Wolf|Jeremy Sisto|Ryan Phillippe|David Lascher|Eric Michael Cole|Jason Marsden|Julio Oscar Mechoso|Zeljko Ivanek|Balthazar Getty|Ethan Embry|James Rebhorn
97,Hate (Haine|La) (1995),Crime|Drama,Ken Kwapis,Jason Alexander|Rupert Everett|Eric Lloyd|Faye Dunaway
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Penelope Spheeris,Chris Farley|David Spade|Tim Matheson|Christine Ebersole|Gary Busey|Grant Heslov|Timothy Carhart|Bruce McGill|Michael Patrick Carter|Boyd Banks|David St. James|Chris Owen|Kevin P. Farley|John Farley|Julie Benz
100,City Hall (1996),Drama|Thriller,John Badham,Johnny Depp|Charles Dutton|Christopher Walken|Courtney Chase
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,John Duigan,Jason Patric|Thandie Newton|Sam Waterston|Larry Drake|Eric Mabius|Muse Watson|John Doman|Andy Stahl|Dale Dickey|Lee Norris|Mark Joy|Maya Angelou
102,Mr. Wrong (1996),Comedy,Stephen Frears,Julia Roberts|John Malkovich|George Cole|Michael Gambon|Kathy Staff|Glenn Close|Michael Sheen|Bronagh Gallagher|Ciar\u00e1n Hinds
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Wes Craven,Kadeem Hardison|Eddie Murphy|Allen Payne|Angela Bassett
104,Happy Gilmore (1996),Comedy,Ted Demme,Timothy Hutton|Matt Dillon|Noah Emmerich|Annabeth Gish|Lauren Holly|Natalie Portman
105,Bridges of Madison County|The (1995),Drama|Romance,John Woo,John Travolta|Christian Slater|Samantha Mathis|Delroy Lindo|Bob Gunton|Frank Whaley|Vondie Curtis-Hall|Jack Thompson|Vyto Ruginis|Shaun Toub|Kurtwood Smith|Daniel von Bargen|Carmen Argenziano|James MacDonald|French Stewart|Chris Mulkey|Raymond Cruz
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Kenneth Branagh,Richard Briers|Nicholas Farrell|Hetta Charnley|Joan Collins
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Mathieu Kassovitz,Vincent Cassel|Hubert Kound\u00e9|Sa\u00efd Taghmaoui|Abdel Ahmed Ghili
108,Catwalk (1996),Documentary,Paul W.S. Anderson,Sadie Frost|Jude Law|Sean Pertwee|Sean Bean|Fraser James
110,Braveheart (1995),Action|Drama|War,Nick Broomfield,Nick Broomfield
111,Taxi Driver (1976),Crime|Drama|Thriller,Harold Becker,Al Pacino|John Cusack|Bridget Fonda|Danny Aiello|Martin Landau|David Paymer|Anthony Franciosa|Richard Schiff|Lindsay Duncan|Nestor Serrano|Lauren V\u00e9lez
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Wes Anderson,Ned Dowd|Luke Wilson|Owen Wilson|Shea Fowler|James Caan
113,Before and After (1996),Drama|Mystery,Nick Castle,Bill Pullman|Dean Stockwell|Joan Cusack|Ellen DeGeneres
116,Anne Frank Remembered (1995),Documentary,John Dahl,Peter Coyote|Ray Liotta|Christopher McDonald|Linda Fiorentino
117,Young Poisoner's Handbook|The (1995),Crime|Drama,Dennis Dugan,Christopher McDonald|Adam Sandler|Frances Bay|Julie Bowen|Carl Weathers
118,If Lucy Fell (1996),Comedy|Romance,Clint Eastwood,Clint Eastwood|Meryl Streep|Annie Corley|Victor Slezak
119,Steal Big|Steal Little (1995),Comedy,Doris D\u00f6rrie,Maria Schrader|Pierre Sanoussi-Bliss|Michael von Au|Elisabeth Trissenaar
121,Boys of St. Vincent|The (1992),Drama,Brian Henson,Kevin Bishop|Billy Connolly|Tim Curry|Jennifer Saunders
122,Boomerang (1992),Comedy|Romance,Robert Leacock,Christy Turlington|Kate Moss|Naomi Campbell|Jean-Paul Gaultier|Todd Oldham|Azzedine Alaia
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,James Bruce,Raymond J. Barry|David Selby|Paul Williams|Jennifer MacDonald
125,Flirting With Disaster (1996),Comedy,Mel Gibson,Mel Gibson|Brian Cox|Sophie Marceau|Catherine McCormack|Brendan Gleeson|Patrick McGoohan|Peter Hanly|Tommy Flanagan
126,NeverEnding Story III|The (1994),Adventure|Children|Fantasy,Martin Scorsese,Robert De Niro|Cybill Shepherd|Peter Boyle|Jodie Foster|Harvey Keitel|Albert Brooks
128,Jupiter's Wife (1994),Documentary,Stanley Tong,Jackie Chan|Anita Mui|Fran\u00e7oise Yip|Bill Tung
129,Pie in the Sky (1996),Comedy|Romance,Barbet Schroeder,Edward Furlong|Liam Neeson|Meryl Streep|Julia Weldon
132,Jade (1995),Thriller,Mort Ransen,Craig Olejnik|Clive Russell|Helena Bonham Carter|Kate Nelligan
135,Down Periscope (1996),Comedy,\u00c9tienne Chatiliez,Michel Serrault|Eddy Mitchell|Sabine Az\u00e9ma
137,Man of the Year (1995),Documentary,Jon Blair,Kenneth Branagh|Glenn Close|Anne Frank
140,Up Close and Personal (1996),Drama|Romance,Benjamin Ross,Tobias Arnold|Roger Lloyd-Pack|Hugh O'Conor|Antony Sher|Charlotte Coleman
141,Birdcage|The (1996),Comedy,Eric Schaeffer,Eric Schaeffer|Ben Stiller|Elle Macpherson|Sarah Jessica Parker
144,Brothers McMullen|The (1995),Comedy,Andrew Davis,Alan Arkin|Andy Garcia|Joe Pantoliano|Rachel Ticotin
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Charles T. Kanganis,Halle Berry|Casey Affleck|Eliza Dushku|Kevin Tighe|Anthony Ruivivar|Steve Zahn|Dion Basco|Nadja Pionilla|Bill Hunter|James Belushi
146,Amazing Panda Adventure|The (1995),Adventure|Children,John N. Smith,Henry Czerny|Johnny Morina|Brian Dooley|Philip Dinn|Brian Dodd
147,Basketball Diaries|The (1995),Drama,Reginald Hudlin,David Alan Grier|Eddie Murphy|Halle Berry|Robin Givens
148,Awfully Big Adventure|An (1995),Drama,Wong Kar-wai,Brigitte Lin|Tony Leung Chiu Wai|Faye Wong|Takeshi Kaneshiro|Valerie Chow|Chen Jinquan
149,Amateur (1994),Crime|Drama|Thriller,Giuseppe Tornatore,Sergio Castellitto|Tiziana Lodato|Franco Scaldati|Leopoldo Trieste
150,Apollo 13 (1995),Adventure|Drama|IMAX,David O. Russell,Ben Stiller|Patricia Arquette|T\u00e9a Leoni|Alan Alda|Mary Tyler Moore|George Segal|Lily Tomlin
151,Rob Roy (1995),Action|Drama|Romance|War,Peter MacDonald,Jack Black|Jason James Richter|Carole Finn|Melody Kay
152,Addiction|The (1995),Drama|Horror,Moufida Tlatli,Amel Hedhili|Najia Ouerghi|Hend Sabri|Fatima Ben Sa\u00efdane|Zahira Ben Ammar
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Michel Negroponte,Maggie Cogan
154,Beauty of the Day (Belle de jour) (1967),Drama,Bryan Gordon,Josh Charles|Anne Heche|John Goodman|Christine Lahti|Christine Ebersole
155,Beyond Rangoon (1995),Adventure|Drama|War,Rebecca Miller,John Ventimiglia|Charlotte Eve Blythe|Anna Levine|Miranda Stuart Rhyne|Vincent Gallo
156,Blue in the Face (1995),Comedy|Drama,Michael Lindsay-Hogg,Gabriel Byrne|Owen Roe|Niall Toibin|Corban Walker
157,Canadian Bacon (1995),Comedy|War,William Friedkin,David Caruso|Linda Fiorentino|Chazz Palminteri|Richard Crenna|Michael Biehn|Donna Murphy|Holt McCallany|Angie Everhart|Kevin Tighe|Robin Thomas|Victor Wong
158,Casper (1995),Adventure|Children,\u00c1ngel Mu\u00f1iz,Ra\u00fal Carbonell|Luisito Marti|Rafael Villalona|Caridad Ravelo
159,Clockers (1995),Crime|Drama|Mystery,Craig Baldwin,
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,David S. Ward,Kelsey Grammer|Lauren Holly|Rob Schneider|Harry Dean Stanton|Bruce Dern|William H. Macy|Ken Hudson Campbell|Toby Huss|Duane Martin|Jonathan Penner|Bradford Tatum|Harland Williams|Rip Torn|Matt Landers|Patton Oswalt|Dennis Fimple|
161,Crimson Tide (1995),Drama|Thriller|War,Mark Rappaport,Mary Beth Hurt
162,Crumb (1994),Documentary,Dirk Shafer,Cal Bartlett|Michael Marisi Ornstein|Vivian Paxton|Claudette Sutherland
163,Desperado (1995),Action|Romance|Western,Terence Davies,Drake Bell|Jacob Tierney|Gena Rowlands|Diana Scarwid
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Sandip Ray,Dale Cook|Ron Hall|Nicholas Hill|Mychelle Charters
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,Jon Avnet,Robert Redford|Michelle Pfeiffer|Stockard Channing|Joe Mantegna|Kate Nelligan|Dedee Pfeiffer|Glenn Plummer
166,Doom Generation|The (1995),Comedy|Crime|Drama,Mike Nichols,Gene Hackman|Nathan Lane|Robin Williams|Dianne Wiest|Dan Futterman|Calista Flockhart|Hank Azaria
168,First Knight (1995),Action|Drama|Romance,Jerzy Kaszubowski,
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Jakov Sedlar,Paul Guilfoyle|Martin Sheen|Michael York|Morgan Fairchild
170,Hackers (1995),Action|Adventure|Crime|Thriller,Edward Burns,Shari Albert|Maxine Bahns|Catharine Bolz|Connie Britton
171,Jeffrey (1995),Comedy|Drama,Michael Bay,Will Smith|Martin Lawrence|Tch\u00e9ky Karyo|T\u00e9a Leoni|Theresa Randle|Joe Pantoliano|Marg Helgenberger|Nestor Serrano|Julio Oscar Mechoso|Michael Imperioli|Michael Taliferro|Marc Macaulay|Saverio Guerra|Shaun Toub|Kevin Corrigan|John Salley|Kim Coates
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Christopher Cain,Wang Fei|Stephen Lang|Ryan Slater|Yi Ding
173,Judge Dredd (1995),Action|Crime|Sci-Fi,Scott Kalvert,Leonardo DiCaprio|Lorraine Bracco|Marilyn Sokol|James Madio|Mark Wahlberg|Vincent Pastore|Bruno Kirby|Alexander Chaplin|Juliette Lewis|Michael Imperioli|Ernie Hudson|Cynthia Daniel|Brittany Daniel|Toby Huss|Michael Rapaport
174,Jury Duty (1995),Comedy,Mike Newell,Alan Rickman|Hugh Grant|Georgina Cates|Alun Armstrong|Peter Firth
175,Kids (1995),Drama,Hal Hartley,Martin Donovan|Damian Young|Isabelle Huppert|Elina L\u00f6wensohn
176,Living in Oblivion (1995),Comedy,Ron Howard,Tom Hanks|Kevin Bacon|Bill Paxton|Gary Sinise|Ed Harris
177,Lord of Illusions (1995),Horror,Michael Caton-Jones,John Hurt|Liam Neeson|Tim Roth|Jessica Lange|Eric Stoltz
178,Love & Human Remains (1993),Comedy|Drama,Abel Ferrara,Christopher Walken|Edie Falco|Annabella Sciorra|Lili Taylor
179,Mad Love (1995),Drama|Romance,Joel Schumacher,Jim Carrey|Tommy Lee Jones|Val Kilmer|Nicole Kidman
180,Mallrats (1995),Comedy|Romance,Luis Bu\u00f1uel,Michel Piccoli|Jean Sorel|Catherine Deneuve|Genevi\u00e8ve Page
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,John Boorman,U Aung Ko|Patricia Arquette|Frances McDormand
183,Mute Witness (1994),Comedy|Horror|Thriller,Paul Auster|Wayne Wang,Lou Reed|Michael J. Fox|Roseanne|Jim Jarmusch|Lily Tomlin|Jared Harris|Giancarlo Esposito|Malik Yoba|Jos\u00e9 Z\u00fa\u00f1iga|Victor Argo|Stephen Gevedon|Madonna|Mira Sorvino|Keith David|Harvey Keitel|Michael Badalucco|Debra Wilson|RuPaul|
184,Nadja (1994),Drama,Michael Moore,John Candy|Alan Alda|Rhea Perlman|Kevin Pollak|Rip Torn
185,Net|The (1995),Action|Crime|Thriller,Brad Silberling,Chauncey Leopardi|Cathy Moriarty|Eric Idle|Ben Stein|Fred Rogers|Bill Pullman|Christina Ricci|Brad Garrett|Garette Ratliff Henson|Amy Brenneman|Devon Sawa|Dan Aykroyd|Rodney Dangerfield|Clint Eastwood|Mel Gibson
